Customer_ID,Customer_Name,Email,Phone_Number,Demographics_ID,Geography_ID
CUST_1,Customer_1,customer1@example.com,919192255096,2001,1001
CUST_2,Customer_2,customer2@example.com,917409970357,2002,1002
CUST_3,Customer_3,customer3@example.com,919809148812,2003,1003
CUST_4,Customer_4,customer4@example.com,918038555788,2004,1004
CUST_5,Customer_5,customer5@example.com,917485721018,2005,1005
CUST_6,Customer_6,customer6@example.com,918223076315,2006,1006
CUST_7,Customer_7,customer7@example.com,917436473890,2007,1003
CUST_8,Customer_8,customer8@example.com,917474638275,2006,1007
CUST_9,Customer_9,customer9@example.com,919182713779,2007,1008
CUST_10,Customer_10,customer10@example.com,917877169900,2008,1009
CUST_11,Customer_11,customer11@example.com,919568293247,2009,1010
CUST_12,Customer_12,customer12@example.com,918594830308,2010,1011
CUST_13,Customer_13,customer13@example.com,919936739210,2011,1012
CUST_14,Customer_14,customer14@example.com,918932193849,2006,1013
CUST_15,Customer_15,customer15@example.com,917471799495,2006,1014
CUST_16,Customer_16,customer16@example.com,917188994971,2010,1015
CUST_17,Customer_17,customer17@example.com,917778977276,2001,1016
CUST_18,Customer_18,customer18@example.com,917935238625,2001,1013
CUST_19,Customer_19,customer19@example.com,917326563172,2003,1008
CUST_20,Customer_20,customer20@example.com,919803895138,2005,1017
CUST_21,Customer_21,customer21@example.com,918721452135,2001,1018
CUST_22,Customer_22,customer22@example.com,918101038586,2010,1019
CUST_23,Customer_23,customer23@example.com,919980514380,2011,1007
CUST_24,Customer_24,customer24@example.com,919378908674,2012,1002
CUST_25,Customer_25,customer25@example.com,919231153794,2012,1020
CUST_26,Customer_26,customer26@example.com,919433526466,2006,1021
CUST_27,Customer_27,customer27@example.com,919297383847,2004,1022
CUST_28,Customer_28,customer28@example.com,919730768833,2001,1023
CUST_29,Customer_29,customer29@example.com,918124189736,2009,1024
CUST_30,Customer_30,customer30@example.com,918523789488,2008,1025
CUST_31,Customer_31,customer31@example.com,919044782613,2005,1010
CUST_32,Customer_32,customer32@example.com,919085344492,2003,1026
CUST_33,Customer_33,customer33@example.com,918635810445,2012,1012
CUST_34,Customer_34,customer34@example.com,917650038028,2001,1027
CUST_35,Customer_35,customer35@example.com,919295634656,2008,1015
CUST_36,Customer_36,customer36@example.com,917682867469,2008,1028
CUST_37,Customer_37,customer37@example.com,917853321816,2007,1029
CUST_38,Customer_38,customer38@example.com,917725283489,2012,1012
CUST_39,Customer_39,customer39@example.com,918917996700,2006,1030
CUST_40,Customer_40,customer40@example.com,919471935384,2009,1031
CUST_41,Customer_41,customer41@example.com,918895617688,2009,1032
CUST_42,Customer_42,customer42@example.com,917366730545,2003,1032
CUST_43,Customer_43,customer43@example.com,917266932214,2008,1030
CUST_44,Customer_44,customer44@example.com,917665870452,2002,1013
CUST_45,Customer_45,customer45@example.com,917342820750,2004,1007
CUST_46,Customer_46,customer46@example.com,918433862629,2004,1025
CUST_47,Customer_47,customer47@example.com,917124247573,2010,1009
